Landslide_,Elevation_,Aspect_Pla,Faults_dis,lithology_,LULC_Band_,NDVI_Band_,PlanCurve_,ProfileCur,Rainfall_B,Roads_dis_,Slope_Band,SoilGroup_,SoilMoistu,STI_Band_1,TWI_Band_1,Water_dis_
0,0.336773256,0.981235,0.131959,0.5,0,0.457605,0.483992,0.495402,0.565269,0.0982888,0.343192,0.333333333,0.52895,0,0.17113,0.109116
0,0.37630814,0.590953,0.0603485,0.5,1,0.45448,0.487816,0.493181,0.565269,0.0434167,0.366796,0.166666667,0.515972,0.000835281,0.208997,0.0992312
0,0.349273256,0.84064,0.0271987,0.5,1,0.440794,0.497097,0.500498,1,0.204796,0.39232,0.166666667,0.488861,0,0.161345,0.0358771
0,0.370639535,0.729714,0.0695483,0.5,1,0.430612,0.479517,0.494491,0.740032,0.123995,0.448327,0.333333333,0.548037,0,0.19796,0.1214
0,0.39127907,0.0507548,0.0168679,0.5,1,0.43773,0.493826,0.474357,0.740032,0.0858099,0.244672,0.666666667,0.548037,0,0.167013,0.0818124
0,0.388226744,0.342428,0.0311029,0.5,1,0.442213,0.478061,0.493343,0.740032,0.044753,0.250716,0.333333333,0.548037,0,0.210367,0.046778
0,0.298255814,0.0968582,0.0908366,0,0,0.581035,0.482376,0.483655,1,0.0815871,0.333917,0.333333333,0,0,0.175635,0.0756828
0,0.249563953,0.0715389,0.0483024,0,0,0.492628,0.516925,0.484715,1,0.00767507,0.436237,0.333333333,0,0,0.190174,0.00802237
0,0.429505814,0.380981,0.18261,0,1,0.447746,0.47793,0.498477,0.565269,0.0651251,0.181048,0.333333333,0.707722,0,0.231455,0.0717542
0,0.371075581,0.231537,0.0812467,0,0,0.444041,0.489552,0.494549,0.565269,0.00767507,0.0628673,0,0.719906,0,0.290809,0.0253689
0,0.379505814,0.62616,0.0589171,0.5,1,0.441813,0.482911,0.491931,0.565269,0.191877,0.0320969,0.333333333,0.666203,0,0.479298,0.00802237
0,0.395784884,0.537485,0.0106682,0.5,1,0.444395,0.489552,0.502404,0.740032,0.0153501,0.070432,0.333333333,0,0,0.254133,0.0179386
